workload,contract,function,description,mode,gas_estimate,n,min,median,max,p95,stddev,mean,error
W1,TokenIrec,mintERC20,Minta NeoCoin (ERC1155 tokenId=1) para um endereço,receipts,,51,38018,38030,38042,38030,6,38026,
W4,TokenIrec,mintIREC,Minta token I-REC ERC1155 com metadados completos,receipts,,200,547531,614806,634790,634790,31318,610769,
-,TokenIrec,burnERC20,Queima NeoCoin de um endereço (owner only),receipts,,0,,,,,,,
W7,TokenIrec,burnIREC,Aposenta (burn) um certificado I-REC com certificado de origem,receipts,,550,410339,428643,984333,916174,171556,506299,
-,TokenIrec,setApprovalForAll,Aprova operador para todos os tokens ERC1155 do caller,receipts,,4,26321,26321,26321,26321,0,26321,
-,TokenIrec,ERC20Transfer,Transfere NeoCoin (ERC1155 tokenId=1) entre endereços,receipts,,0,,,,,,,
-,TokenIrec,safeTransferFrom,Transfere um token ERC1155 (ERC1155 padrão),receipts,,0,,,,,,,
W2,AssetManager,createPreIrec,Registra um PreIREC no AssetManager,receipts,,100,182778,227401,247555,247483,18635,215494,
W3,AssetManager,buyPreIrec,"Compra volume de um PreIREC, transferindo NeoCoin",receipts,,500,231187,231187,236580,236580,2157,232266,
-,AssetManager,expirePreIrec,Expira PreIRECs com data anterior à informada,receipts,,0,,,,,,,
W8,AssetManager,markReceiptAsIssued,Marca recibo de compra como emitido (W8 — compliance),receipts,,0,,,,,,,
W5,TradeTokens,openIrecOffer,Abre oferta de venda de tokens I-REC no mercado secundário,receipts,,105,168487,168487,168655,168655,83,168566,
W6,TradeTokens,buyIrec,Executa compra P2P de tokens I-REC via oferta aberta,receipts,,100,84239,84239,84239,84239,0,84239,
