source_file,workload_label,configured_tps,send_rate_tps,throughput_tps,avg_latency_s,max_latency_s,min_latency_s,succ,fail
src/reports/W1/report_10TPS_20260511_132707.html,W1_MintNeocoin,10.0,10.2,8.2,2.11,4.17,0.25,50,0
src/reports/W1/report_10TPS_20260511_133108.html,W1_MintNeocoin,10.0,10.2,7.7,2.28,4.26,0.46,50,0
src/reports/W1/report_10TPS_20260511_133301.html,W1_MintNeocoin,10.0,10.2,6.1,2.31,4.07,0.12,50,0
src/reports/W1/report_10TPS_20260511_133435.html,W1_MintNeocoin,10.0,10.2,7.4,2.19,4.1,0.24,50,0
src/reports/W1/report_10TPS_20260511_133702.html,W1_MintNeocoin,10.0,10.2,6.9,2.28,4.09,0.2,50,0
src/reports/W1/report_10TPS_20260511_133733.html,W1_MintNeocoin,10.0,10.2,6.0,2.21,4.04,0.1,50,0
src/reports/W1/report_10TPS_20260511_133753.html,W1_MintNeocoin,10.0,10.2,5.8,2.01,4.01,0.12,50,0
src/reports/W1/report_15TPS_20260512_175914.html,W1_MintNeocoin,15.0,15.3,8.7,2.15,4.09,0.22,50,0
src/reports/W1/report_15TPS_20260512_175942.html,W1_MintNeocoin,15.0,15.4,12.8,2.28,3.89,0.66,50,0
src/reports/W1/report_15TPS_20260512_175958.html,W1_MintNeocoin,15.0,15.3,12.6,2.34,3.95,0.71,50,0
src/reports/W1/report_15TPS_20260512_180014.html,W1_MintNeocoin,15.0,15.3,12.6,2.33,3.96,0.71,50,0
src/reports/W1/report_15TPS_20260512_180030.html,W1_MintNeocoin,15.0,15.3,13.0,2.22,3.83,0.6,50,0
src/reports/W1/report_20TPS_20260512_180158.html,W1_MintNeocoin,20.0,20.2,16.6,2.39,4.22,0.2,200,0
src/reports/W1/report_20TPS_20260512_180222.html,W1_MintNeocoin,20.0,20.1,17.0,2.31,4.24,0.18,200,0
src/reports/W1/report_20TPS_20260512_180246.html,W1_MintNeocoin,20.0,20.1,16.7,2.34,4.15,0.2,200,0
src/reports/W1/report_20TPS_20260512_180310.html,W1_MintNeocoin,20.0,20.1,16.6,2.43,4.37,0.22,200,0
src/reports/W1/report_20TPS_20260512_180334.html,W1_MintNeocoin,20.0,20.1,17.5,2.2,4.12,0.17,200,0
src/reports/W1/report_25TPS_20260512_180420.html,W1_MintNeocoin,25.0,25.1,16.9,2.35,4.43,0.22,200,0
src/reports/W1/report_25TPS_20260512_180454.html,W1_MintNeocoin,25.0,25.1,17.4,2.14,4.14,0.14,200,0
src/reports/W1/report_25TPS_20260512_180518.html,W1_MintNeocoin,25.0,25.1,16.6,2.32,4.35,0.25,200,0
src/reports/W1/report_25TPS_20260512_180542.html,W1_MintNeocoin,25.0,25.2,24.0,2.21,4.17,0.13,200,0
src/reports/W1/report_25TPS_20260512_180602.html,W1_MintNeocoin,25.0,25.1,16.9,2.16,4.12,0.16,200,0
src/reports/W1/report_30TPS_20260512_180647.html,W1_MintNeocoin,30.0,30.2,18.7,1.91,4.18,0.2,200,0
src/reports/W1/report_30TPS_20260512_180710.html,W1_MintNeocoin,30.0,30.2,24.7,2.42,4.13,0.25,200,0
src/reports/W1/report_30TPS_20260512_180730.html,W1_MintNeocoin,30.0,30.2,25.7,2.5,4.48,0.56,200,0
src/reports/W1/report_30TPS_20260512_180750.html,W1_MintNeocoin,30.0,30.2,25.3,2.36,4.1,0.26,200,0
src/reports/W1/report_30TPS_20260512_180810.html,W1_MintNeocoin,30.0,30.2,24.8,2.53,4.34,0.41,200,0
src/reports/W1/report_35TPS_20260512_180848.html,W1_MintNeocoin,35.0,35.2,31.2,1.99,4.2,0.21,200,0
src/reports/W1/report_35TPS_20260512_180906.html,W1_MintNeocoin,35.0,35.2,25.0,2.54,4.18,0.34,200,0
src/reports/W1/report_35TPS_20260512_180926.html,W1_MintNeocoin,35.0,35.2,24.8,2.65,4.31,0.46,200,0
src/reports/W1/report_35TPS_20260512_180958.html,W1_MintNeocoin,35.0,35.2,25.3,2.77,4.6,0.68,200,0
src/reports/W1/report_35TPS_20260512_181018.html,W1_MintNeocoin,35.0,35.2,23.7,2.39,4.21,0.09,200,0
src/reports/W1/report_40TPS_20260512_181536.html,W1_MintNeocoin,40.0,40.3,27.5,2.28,4.08,0.23,200,0
src/reports/W1/report_40TPS_20260512_181606.html,W1_MintNeocoin,40.0,40.3,24.2,2.67,4.34,0.21,200,0
src/reports/W1/report_40TPS_20260512_181626.html,W1_MintNeocoin,40.0,40.3,24.3,2.48,4.15,0.13,200,0
src/reports/W1/report_40TPS_20260512_181646.html,W1_MintNeocoin,40.0,40.2,23.7,2.36,4.28,0.11,200,0
src/reports/W1/report_40TPS_20260512_181706.html,W1_MintNeocoin,40.0,40.3,24.7,2.56,4.22,0.31,200,0
src/reports/W1/report_5TPS_20260512_175400.html,W1_MintNeocoin,5.0,5.1,4.8,1.97,4.12,0.12,50,0
src/reports/W1/report_5TPS_20260512_175713.html,W1_MintNeocoin,5.0,5.1,4.1,2.16,3.94,0.1,50,0
src/reports/W1/report_5TPS_20260512_175738.html,W1_MintNeocoin,5.0,5.1,3.8,1.96,3.91,0.1,50,0
src/reports/W1/report_5TPS_20260512_175802.html,W1_MintNeocoin,5.0,5.1,4.1,2.22,3.97,0.13,50,0
src/reports/W1/report_5TPS_20260512_175826.html,W1_MintNeocoin,5.0,5.1,4.1,2.55,4.36,0.38,50,0
src/reports/W1/report_5TPS_20260513_015018.html,W1_MintNeocoin,5.0,5.1,4.3,2.29,4.08,0.27,50,0
src/reports/W2/report_10TPS_20260515_001326.html,W2_CreatePreIrec,10.0,10.2,6.6,2.76,4.61,0.7,50,0
src/reports/W2/report_10TPS_20260515_001345.html,W2_CreatePreIrec,10.0,10.2,7.7,2.17,4.13,0.24,50,0
src/reports/W2/report_10TPS_20260515_001409.html,W2_CreatePreIrec,10.0,10.2,7.1,2.3,4.16,0.27,50,0
src/reports/W2/report_10TPS_20260515_001433.html,W2_CreatePreIrec,10.0,10.2,5.9,2.94,5.02,0.13,50,0
src/reports/W2/report_10TPS_20260515_001453.html,W2_CreatePreIrec,10.0,10.2,5.8,3.0,5.13,0.18,50,0
src/reports/W2/report_15TPS_20260515_001521.html,W2_CreatePreIrec,15.0,15.3,6.1,4.06,6.15,0.13,50,0
src/reports/W2/report_15TPS_20260515_001541.html,W2_CreatePreIrec,15.0,15.3,6.2,4.15,6.17,2.24,50,0
src/reports/W2/report_15TPS_20260515_001601.html,W2_CreatePreIrec,15.0,15.3,6.0,3.59,6.07,0.11,50,0
src/reports/W2/report_15TPS_20260515_001621.html,W2_CreatePreIrec,15.0,15.3,6.0,3.77,6.16,0.11,50,0
src/reports/W2/report_15TPS_20260515_001641.html,W2_CreatePreIrec,15.0,15.3,5.9,3.84,6.22,0.25,50,0
src/reports/W2/report_20TPS_20260515_002938.html,W2_CreatePreIrec,20.0,20.4,6.7,3.89,5.96,2.05,50,0
src/reports/W2/report_20TPS_20260515_003009.html,W2_CreatePreIrec,20.0,20.5,6.1,4.55,6.64,2.75,50,0
src/reports/W2/report_20TPS_20260515_003029.html,W2_CreatePreIrec,20.0,20.5,6.1,4.24,6.65,0.11,50,0
src/reports/W2/report_20TPS_20260515_003049.html,W2_CreatePreIrec,20.0,20.5,5.9,3.91,6.66,0.11,50,0
src/reports/W2/report_20TPS_20260515_003109.html,W2_CreatePreIrec,20.0,20.5,5.9,3.64,6.61,0.17,50,0
src/reports/W2/report_25TPS_20260515_002111.html,W2_CreatePreIrec,25.0,25.6,7.7,3.19,5.32,1.39,50,0
src/reports/W2/report_25TPS_20260515_002129.html,W2_CreatePreIrec,25.0,25.6,6.1,4.7,6.98,0.18,50,0
src/reports/W2/report_25TPS_20260515_002149.html,W2_CreatePreIrec,25.0,25.6,6.9,3.95,6.09,2.19,50,0
src/reports/W2/report_25TPS_20260515_002213.html,W2_CreatePreIrec,25.0,25.6,5.9,3.88,6.95,0.16,50,0
src/reports/W2/report_25TPS_20260515_002233.html,W2_CreatePreIrec,25.0,25.6,5.9,3.9,6.95,0.14,50,0
src/reports/W2/report_30TPS_20260515_003231.html,W2_CreatePreIrec,30.0,30.7,8.8,2.52,4.69,0.72,50,0
